rule_id,from_ziffer,to_ziffer,direction,legal_basis,quote,verified,verified_at,source,parser_verdict,parser_reason,parser_provision
excl_auto_807_1,807,1,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_807_3,807,3,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_807_22,807,22,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_807_30,807,30,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_807_34,807,34,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_808_1,808,1,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_808_3,808,3,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_808_22,808,22,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_808_30,808,30,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_808_34,808,34,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
excl_auto_812_1,812,1,one_way,GOÄ Allgemeine Bestimmung,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig",true,2026-08-29,deterministic_parser:auto_extracted:ist_neben:range[804-812(5);861-864(4)],CONFIRMED,form_A,"Die Leistungen nach den Nummern 1, 3, 22, 30 und/oder 34 sind neben den Leistungen nach den Nummern 804 bis 812, 817, 835, 849, 861 bis 864, 870, 871, 886 sowie 887 nicht berechnungsfähig"
